project,date,author,aqua,condition,species,id,weight,temperature,salinity,statut,comment
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,55,0.585,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,56,0.887,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,57,1.363,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,58,0.959,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,59,0.794,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,60,0.910,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,61,0.486,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,62,0.894,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,63,1.425,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,64,1.053,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,65,1.701,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,66,1.066,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,67,1.221,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,68,1.100,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,69,1.249,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,70,0.319,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,71,0.935,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,72,1.023,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,73,0.656,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,74,1.193,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,75,1.382,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,76,0.292,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,77,0.943,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,78,1.183,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,79,0.808,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,80,1.057,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,81,,25.1,35.1,good,Les lignes 81 à 84 ont été oublié
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,82,,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,83,,25.1,35.1,good,
mesocosm_monitoring,2019-02-11 14:20:00,jordan,B0,normal,s.hystrix,84,,25.1,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,1,0.438,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,2,0.299,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,3,,25.2,35.1,dead,13h06
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,4,1.103,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,5,0.697,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,6,0.406,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,7,0.825,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,8,0.238,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,9,0.546,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,10,0.967,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,11,0.540,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,12,1.113,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,13,0.624,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,14,0.231,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,15,,25.2,35.1,dead,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,16,0.224,25.2,35.1,good,vérifier les mesures de la numéro 16
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,17,0.486,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,18,0.831,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,19,0.650,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,20,0.804,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,21,0.530,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,22,0.316,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,23,0.468,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,24,0.922,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,25,0.557,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,26,0.971,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,27,0.693,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,28,0.832,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,29,0.750,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,30,0.608,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,31,1.103,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,32,0.556,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,33,0.883,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,34,0.625,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,35,0.521,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,36,0.852,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,37,0.761,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,38,0.544,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,39,1.302,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,40,1.215,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,41,1.349,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,42,0.643,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,43,0.772,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,44,1.519,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,45,0.722,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,46,0.808,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,47,0.479,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,48,0.859,25.2,35.1,good,
mesocosm_monitoring,2019-02-15 13:00:00,jordan,B0,normal,s.hystrix,49,1.420,25.2,35.1,good,
