ID;weight;temp;salinity;date;;Tableau recapitulatif du poids des boutures de coraux
49;1,420;25,2;35,1;15/02/2019;;
50;0,468;25,2;35,1;15/02/2019;;
51;1,170;25,2;35,1;15/02/2019;;
52;0,775;25,2;35,1;15/02/2019;;
53;1,024;25,2;35,1;15/02/2019;;
54;0,707;25,2;35,1;15/02/2019;;
55;0,592;25,2;35,1;15/02/2019;;
56;0,912;25,2;35,1;15/02/2019;;
57;1,430;25,2;35,1;15/02/2019;;
58;1,004;25,2;35,1;15/02/2019;;
59;0,826;25,2;35,1;15/02/2019;;
60;0,927;25,2;35,1;15/02/2019;;
61;0,489;25,2;35,1;15/02/2019;;
62;0,932;25,2;35,1;15/02/2019;;
63;1,489;25,2;35,1;15/02/2019;;
64;1,068;25,2;35,1;15/02/2019;;
65;1,753;25,2;35,1;15/02/2019;;
66;1,105;25,2;35,1;15/02/2019;;
67;1,275;25,2;35,1;15/02/2019;;
68;1,123;25,2;35,1;15/02/2019;;
69;1,293;25,2;35,1;15/02/2019;;
70;0,329;25,2;35,1;15/02/2019;;
71;0,960;25,2;35,1;15/02/2019;;
72;1,066;25,2;35,1;15/02/2019;;
73;0,685;25,2;35,1;15/02/2019;;
74;1,232;25,2;35,1;15/02/2019;;
75;1,434;25,2;35,1;15/02/2019;;
76;0,300;25,2;35,1;15/02/2019;;
77;0,975;25,2;35,1;15/02/2019;;
78;1,228;25,2;35,1;15/02/2019;;
79;0,865;25,2;35,1;15/02/2019;;
80;1,112;25,2;35,1;15/02/2019;;
81;0,502;25,2;35,1;15/02/2019;;
82;1,665;25,2;35,1;15/02/2019;;
83;0,600;25,2;35,1;15/02/2019;;
84;0,592;25,2;35,1;15/02/2019;;
1;0,460;25,0;35,0;19/02/2019;;
2;0,311;25,0;35,0;19/02/2019;;
3;;25,0;35,0;19/02/2019;;
4;1,153;25,0;35,0;19/02/2019;;
5;0,720;25,0;35,0;19/02/2019;;
6;0,425;25,0;35,0;19/02/2019;;
7;0,861;25,0;35,0;19/02/2019;;
8;0,246;25,0;35,0;19/02/2019;;
9;0,580;25,0;35,0;19/02/2019;;
10;1,010;25,0;35,0;19/02/2019;;
11;0,564;25,0;35,0;19/02/2019;;
12;1,149;25,0;35,0;19/02/2019;;
13;0,645;25,0;35,0;19/02/2019;;
14;0,248;25,0;35,0;19/02/2019;;
15;;25,0;35,0;19/02/2019;;
16;0,298;25,0;35,0;19/02/2019;;
17;0,511;25,0;35,0;19/02/2019;;
18;0,868;25,0;35,0;19/02/2019;;
19;0,672;25,0;35,0;19/02/2019;;
20;0,816;25,0;35,0;19/02/2019;;
21;0,545;25,0;35,0;19/02/2019;;
22;0,328;25,0;35,0;19/02/2019;;
23;0,483;25,0;35,0;19/02/2019;;
24;0,934;25,0;35,0;19/02/2019;;
25;0,578;25,0;35,0;19/02/2019;;
26;1,005;25,0;35,0;19/02/2019;;
27;0,720;25,0;35,0;19/02/2019;;
28;0,860;25,0;35,0;19/02/2019;;
29;0,789;25,0;35,0;19/02/2019;;
30;0,630;25,0;35,0;19/02/2019;;
31;1,145;25,0;35,0;19/02/2019;;
32;0,523;25,0;35,0;19/02/2019;;
33;0,926;25,0;35,0;19/02/2019;;
34;0,656;25,0;35,0;19/02/2019;;
35;0,536;25,0;35,0;19/02/2019;;
36;0,870;25,0;35,0;19/02/2019;;
37;0,784;25,0;35,0;19/02/2019;;
38;0,567;25,0;35,0;19/02/2019;;
39;1,357;25,0;35,0;19/02/2019;;
40;1,267;25,0;35,0;19/02/2019;;
41;;;;;;
42;;;;;;
43;;;;;;
44;;;;;;
45;;;;;;
46;;;;;;
47;;;;;;
48;;;;;;
49;;;;;;
50;;;;;;
51;;;;;;
52;;;;;;
53;;;;;;
54;;;;;;
55;;;;;;
56;;;;;;
57;;;;;;
58;;;;;;
59;;;;;;
60;;;;;;
61;;;;;;
62;;;;;;
63;;;;;;
64;;;;;;
65;;;;;;
66;;;;;;
67;;;;;;
68;;;;;;
69;;;;;;
70;;;;;;
71;;;;;;
72;;;;;;
73;;;;;;
74;;;;;;
75;;;;;;
76;;;;;;
77;;;;;;
78;;;;;;
79;;;;;;
80;;;;;;
81;;;;;;
82;;;;;;
83;;;;;;
84;;;;;;
1;;;;;;
2;;;;;;
3;;;;;;
4;;;;;;
5;;;;;;
6;;;;;;
7;;;;;;
8;;;;;;
9;;;;;;
10;;;;;;
11;;;;;;
12;;;;;;
13;;;;;;
14;;;;;;
15;;;;;;
16;;;;;;
17;;;;;;
18;;;;;;
19;;;;;;
20;;;;;;
21;;;;;;
22;;;;;;
23;;;;;;
24;;;;;;
25;;;;;;
26;;;;;;
27;;;;;;
28;;;;;;
29;;;;;;
30;;;;;;
31;;;;;;
32;;;;;;
33;;;;;;
34;;;;;;
35;;;;;;
36;;;;;;
37;;;;;;
38;;;;;;
39;;;;;;
40;;;;;;
41;;;;;;
42;;;;;;
43;;;;;;
44;;;;;;
45;;;;;;
46;;;;;;
47;;;;;;
48;;;;;;
49;;;;;;
50;;;;;;
51;;;;;;
52;;;;;;
53;;;;;;
54;;;;;;
55;;;;;;
56;;;;;;
57;;;;;;
58;;;;;;
59;;;;;;
60;;;;;;
61;;;;;;
62;;;;;;
63;;;;;;
64;;;;;;
65;;;;;;
66;;;;;;
67;;;;;;
68;;;;;;
69;;;;;;
70;;;;;;
71;;;;;;
72;;;;;;
73;;;;;;
74;;;;;;
75;;;;;;
76;;;;;;
77;;;;;;
78;;;;;;
79;;;;;;
80;;;;;;
81;;;;;;
82;;;;;;
83;;;;;;
84;;;;;;
1;;;;;;
2;;;;;;
3;;;;;;
4;;;;;;
5;;;;;;
6;;;;;;
7;;;;;;
8;;;;;;
9;;;;;;
10;;;;;;
11;;;;;;
12;;;;;;
13;;;;;;
14;;;;;;
15;;;;;;
16;;;;;;
17;;;;;;
18;;;;;;
19;;;;;;
20;;;;;;
21;;;;;;
22;;;;;;
23;;;;;;
24;;;;;;
25;;;;;;
26;;;;;;
27;;;;;;
28;;;;;;
29;;;;;;
30;;;;;;
31;;;;;;
32;;;;;;
33;;;;;;
34;;;;;;
35;;;;;;
36;;;;;;
37;;;;;;
38;;;;;;
39;;;;;;
40;;;;;;
41;;;;;;
42;;;;;;
43;;;;;;
44;;;;;;
45;;;;;;
46;;;;;;
47;;;;;;
48;;;;;;
49;;;;;;
50;;;;;;
51;;;;;;
52;;;;;;
53;;;;;;
54;;;;;;
55;;;;;;
56;;;;;;
57;;;;;;
58;;;;;;
59;;;;;;
60;;;;;;
61;;;;;;
62;;;;;;
63;;;;;;
64;;;;;;
65;;;;;;
66;;;;;;
67;;;;;;
68;;;;;;
69;;;;;;
70;;;;;;
71;;;;;;
72;;;;;;
73;;;;;;
74;;;;;;
75;;;;;;
76;;;;;;
77;;;;;;
78;;;;;;
79;;;;;;
80;;;;;;
81;;;;;;
82;;;;;;
83;;;;;;
84;;;;;;
1;;;;;;
2;;;;;;
3;;;;;;
4;;;;;;
5;;;;;;
6;;;;;;
7;;;;;;
8;;;;;;
9;;;;;;
10;;;;;;
11;;;;;;
12;;;;;;
13;;;;;;
14;;;;;;
15;;;;;;
16;;;;;;
17;;;;;;
18;;;;;;
19;;;;;;
20;;;;;;
21;;;;;;
22;;;;;;
23;;;;;;
24;;;;;;
25;;;;;;
26;;;;;;
27;;;;;;
28;;;;;;
29;;;;;;
30;;;;;;
31;;;;;;
32;;;;;;
33;;;;;;
34;;;;;;
35;;;;;;
36;;;;;;
37;;;;;;
38;;;;;;
39;;;;;;
40;;;;;;
41;;;;;;
42;;;;;;
43;;;;;;
44;;;;;;
45;;;;;;
46;;;;;;
47;;;;;;
48;;;;;;
49;;;;;;
50;;;;;;
51;;;;;;
52;;;;;;
53;;;;;;
54;;;;;;
55;;;;;;
56;;;;;;
57;;;;;;
58;;;;;;
59;;;;;;
60;;;;;;
61;;;;;;
62;;;;;;
63;;;;;;
64;;;;;;
65;;;;;;
66;;;;;;
67;;;;;;
68;;;;;;
69;;;;;;
70;;;;;;
71;;;;;;
72;;;;;;
73;;;;;;
74;;;;;;
75;;;;;;
76;;;;;;
77;;;;;;
78;;;;;;
79;;;;;;
80;;;;;;
81;;;;;;
82;;;;;;
83;;;;;;
84;;;;;;
1;;;;;;
2;;;;;;
3;;;;;;
4;;;;;;
5;;;;;;
6;;;;;;
7;;;;;;
8;;;;;;
9;;;;;;
10;;;;;;
11;;;;;;
12;;;;;;
13;;;;;;
14;;;;;;
15;;;;;;
16;;;;;;
17;;;;;;
18;;;;;;
19;;;;;;
20;;;;;;
21;;;;;;
22;;;;;;
23;;;;;;
24;;;;;;
25;;;;;;
26;;;;;;
27;;;;;;
28;;;;;;
29;;;;;;
30;;;;;;
31;;;;;;
32;;;;;;
33;;;;;;
34;;;;;;
35;;;;;;
36;;;;;;
37;;;;;;
38;;;;;;
39;;;;;;
40;;;;;;
41;;;;;;
42;;;;;;
43;;;;;;
44;;;;;;
45;;;;;;
46;;;;;;
47;;;;;;
48;;;;;;
49;;;;;;
50;;;;;;
51;;;;;;
52;;;;;;
53;;;;;;
54;;;;;;
55;;;;;;
56;;;;;;
57;;;;;;
58;;;;;;
59;;;;;;
60;;;;;;
61;;;;;;
62;;;;;;
63;;;;;;
64;;;;;;
65;;;;;;
66;;;;;;
67;;;;;;
68;;;;;;
69;;;;;;
70;;;;;;
71;;;;;;
72;;;;;;
73;;;;;;
74;;;;;;
75;;;;;;
76;;;;;;
77;;;;;;
78;;;;;;
79;;;;;;
80;;;;;;
81;;;;;;
82;;;;;;
83;;;;;;
84;;;;;;
1;;;;;;
2;;;;;;
3;;;;;;
4;;;;;;
5;;;;;;
6;;;;;;
7;;;;;;
8;;;;;;
9;;;;;;
10;;;;;;
11;;;;;;
12;;;;;;
13;;;;;;
14;;;;;;
15;;;;;;
16;;;;;;
17;;;;;;
18;;;;;;
19;;;;;;
20;;;;;;
21;;;;;;
22;;;;;;
23;;;;;;
24;;;;;;
25;;;;;;
26;;;;;;
27;;;;;;
28;;;;;;
29;;;;;;
